puertas,tam-rueda,peso,num-cilindros,armazon
2,88.6,48.8,4,convertible
2,88.6,48.8,4,convertible
2,94.5,52.4,6,hatchback
4,99.8,54.3,4,sedan
4,99.4,54.3,5,sedan
2,99.8,53.1,5,sedan
4,105.8,55.7,5,sedan
4,105.8,55.7,5,wagon
4,105.8,55.9,5,sedan
2,99.5,52,5,hatchback
2,101.2,54.3,4,sedan
4,101.2,54.3,4,sedan
2,101.2,54.3,6,sedan
4,101.2,54.3,6,sedan
4,103.5,55.7,6,sedan
4,103.5,55.7,6,sedan
2,103.5,53.7,6,sedan
4,110,56.3,6,sedan
2,88.4,53.2,3,hatchback
2,94.5,52,4,hatchback
4,94.5,52,4,sedan
2,93.7,50.8,4,hatchback
2,93.7,50.8,4,hatchback
2,93.7,50.8,4,hatchback
4,93.7,50.6,4,hatchback
4,93.7,50.6,4,sedan
4,93.7,50.6,4,sedan
4,93.7,50.6,4,sedan
4,103.3,59.8,4,wagon
2,95.9,50.2,4,hatchback
2,86.6,50.8,4,hatchback
2,86.6,50.8,4,hatchback
2,93.7,52.6,4,hatchback
2,93.7,52.6,4,hatchback
2,93.7,52.6,4,hatchback
4,96.5,54.5,4,sedan
4,96.5,58.3,4,wagon
2,96.5,53.3,4,hatchback
2,96.5,53.3,4,hatchback
4,96.5,54.1,4,sedan
4,96.5,54.1,4,sedan
4,96.5,54.1,4,sedan
2,96.5,51,4,sedan
4,94.3,53.5,4,sedan
2,94.5,52,4,sedan
4,94.5,52,4,sedan
2,96,51.4,4,hatchback
4,113,52.8,6,sedan
4,113,52.8,6,sedan
2,102,47.8,12,sedan
2,93.1,54.1,4,hatchback
2,93.1,54.1,4,hatchback
2,93.1,54.1,4,hatchback
4,93.1,54.1,4,sedan
4,93.1,54.1,4,sedan
2,95.3,49.6,2,hatchback
2,95.3,49.6,2,hatchback
2,95.3,49.6,2,hatchback
2,95.3,49.6,2,hatchback
2,98.8,53.7,4,hatchback
4,98.8,55.5,4,sedan
2,98.8,53.7,4,hatchback
4,98.8,55.5,4,sedan
4,98.8,55.5,4,sedan
4,98.8,55.5,4,hatchback
4,104.9,54.4,4,sedan
4,104.9,54.4,4,sedan
4,110,56.5,5,sedan
4,110,58.7,5,wagon
2,106.7,54.9,5,hardtop
4,115.6,56.3,5,sedan
4,115.6,56.5,8,sedan
2,96.6,50.8,8,convertible
4,120.9,56.7,8,sedan
2,112,55.4,8,hardtop
2,102.7,54.8,4,hatchback
2,93.7,50.8,4,hatchback
2,93.7,50.8,4,hatchback
2,93.7,50.8,4,hatchback
2,93,50.8,4,hatchback
2,96.3,49.4,4,hatchback
2,96.3,49.4,4,hatchback
2,95.9,50.2,4,hatchback
2,95.9,50.2,4,hatchback
2,95.9,50.2,4,hatchback
4,96.3,51.6,4,sedan
4,96.3,51.6,4,sedan
4,96.3,51.6,4,sedan
4,96.3,51.6,4,sedan
2,94.5,54.5,4,sedan
2,94.5,54.5,4,sedan
2,94.5,54.5,4,sedan
4,94.5,54.5,4,sedan
4,94.5,53.5,4,wagon
2,94.5,54.5,4,sedan
2,94.5,53.3,4,hatchback
4,94.5,54.5,4,sedan
4,94.5,53.5,4,wagon
2,95.1,53.3,4,hardtop
4,97.2,54.7,4,hatchback
4,97.2,54.7,4,sedan
4,100.4,55.1,6,sedan
4,100.4,56.1,6,wagon
4,100.4,55.1,6,sedan
2,91.3,49.7,6,hatchback
2,91.3,49.7,6,hatchback
2,99.2,49.7,6,hatchback
4,107.9,56.7,4,sedan
4,107.9,56.7,4,sedan
4,114.2,58.7,4,wagon
4,114.2,58.7,4,wagon
4,107.9,56.7,4,sedan
4,107.9,56.7,4,sedan
4,114.2,56.7,4,wagon
4,114.2,58.7,4,wagon
4,107.9,56.7,4,sedan
4,107.9,56.7,4,sedan
4,108,56,4,sedan
2,93.7,50.8,4,hatchback
2,93.7,50.8,4,hatchback
4,93.7,50.6,4,hatchback
4,93.7,50.8,4,sedan
4,93.7,50.8,4,sedan
4,103.3,59.8,4,wagon
2,95.9,50.2,4,hatchback
2,94.5,50.2,4,hatchback
2,89.5,51.6,6,hardtop
2,89.5,51.6,6,hardtop
2,89.5,51.6,6,convertible
2,98.4,50.5,8,hatchback
4,96.1,55.2,4,wagon
2,96.1,50.5,4,hatchback
2,99.1,56.1,4,hatchback
4,99.1,56.1,4,sedan
2,99.1,56.1,4,hatchback
4,99.1,56.1,4,sedan
2,99.1,56.1,4,hatchback
4,99.1,56.1,4,sedan
2,93.7,53.7,4,hatchback
2,93.7,53.7,4,hatchback
2,93.3,55.7,4,hatchback
4,97.2,52.5,4,sedan
4,97.2,52.5,4,sedan
4,97.2,52.5,4,sedan
4,97,54.3,4,sedan
4,97,54.3,4,sedan
4,97,53,4,wagon
4,97,53,4,wagon
4,96.9,54.9,4,wagon
4,96.9,54.9,4,wagon
2,95.7,54.5,4,hatchback
2,95.7,54.5,4,hatchback
2,95.7,54.5,4,hatchback
4,95.7,59.1,4,wagon
4,95.7,59.1,4,wagon
4,95.7,59.1,4,wagon
4,95.7,53,4,sedan
4,95.7,52.8,4,hatchback
4,95.7,53,4,sedan
4,95.7,52.8,4,hatchback
4,95.7,53,4,sedan
4,95.7,52.8,4,hatchback
4,95.7,52.8,4,sedan
2,94.5,52.6,4,sedan
2,94.5,52.6,4,hatchback
2,94.5,52.6,4,sedan
2,94.5,52.6,4,hatchback
2,98.4,52,4,hardtop
2,98.4,52,4,hardtop
2,98.4,52,4,hatchback
2,98.4,52,4,hardtop
2,98.4,52,4,hatchback
2,98.4,53,4,convertible
4,102.4,54.9,4,sedan
4,102.4,54.9,4,sedan
4,102.4,53.9,4,hatchback
4,102.4,54.9,4,sedan
4,102.4,53.9,4,hatchback
2,102.9,52,6,hatchback
2,102.9,52,6,hatchback
4,104.5,54.1,6,sedan
4,104.5,54.1,6,wagon
2,97.3,55.7,4,sedan
2,97.3,55.7,4,sedan
4,97.3,55.7,4,sedan
4,97.3,55.7,4,sedan
4,97.3,55.7,4,sedan
4,97.3,55.7,4,sedan
4,97.3,55.7,4,sedan
2,94.5,55.6,4,convertible
2,94.5,51.4,4,hatchback
4,100.4,55.1,5,sedan
4,100.4,55.1,4,sedan
4,100.4,55.1,4,wagon
4,104.3,56.2,4,sedan
4,104.3,57.5,4,wagon
4,104.3,56.2,4,sedan
4,104.3,57.5,4,wagon
4,104.3,56.2,4,sedan
4,104.3,57.5,4,wagon
4,109.1,55.5,4,sedan
4,109.1,55.5,4,sedan
4,109.1,55.5,6,sedan
4,109.1,55.5,6,sedan
4,109.1,55.5,4,sedan
